bald	gap	tag	year	initial	fire_year	ht_init	ht_final	rp_init	rp_final	stage	fate	st_init										
57	1	5410	1994	1994	1993	25	NA	0	NA	sg	rip	1										
57	1	5459	1994	1994	1993	2	NA	0	NA	sg	rip	1										
57	2	412	1994	1994	1993	5	28	0	9	sg	sm	1										
57	2	413	1994	1994	1993	10	38	0	209	sg	me	1										
57	2	414	1994	1994	1993	5	8	0	0	sg	ve	1										
57	2	415	1994	1994	1993	26	38	7	33	sg	me	1										
57	2	416	1994	1994	1993	4	8	0	0	sg	ve	1										
57	2	417	1994	1994	1993	21	40	0	163	sg	me	1										
57	2	418	1994	1994	1993	21	41	0	29	sg	me	1										
57	2	419	1994	1994	1993	21	43	0	58	sg	me	1										
57	2	420	1994	1994	1993	10	43	0	112	sg	me	1										
57	2	421	1994	1994	1993	17	41	0	154	sg	me	1										
57	2	422	1994	1994	1993	19	46	0	145	sg	me	1										
57	2	423	1994	1994	1993	8	27	0	22	sg	sm	1										
57	2	424	1994	1994	1993	6	35	0	29	sg	me	1										
57	2	425	1994	1994	1993	20	44	0	115	sg	me	1										
57	2	426	1994	1994	1993	3	9	0	0	sg	ve	1										
57	2	427	1994	1994	1993	12	31	0	10	sg	sm	1										
57	2	428	1994	1994	1993	12	34	0	43	sg	me	1										
57	2	429	1994	1994	1993	23	38	0	22	sg	me	1										
57	2	430	1994	1994	1993	23	46	0	27	sg	me	2										
57	2	431	1994	1994	1993	4	19	0	0	sg	ve	1										
57	2	432	1994	1994	1993	6	20	0	0	sg	ve	1										
57	2	433	1994	1994	1993	19	30	0	17	sg	sm	1										
57	2	434	1994	1994	1993	9	26	0	0	sg	ve	1										
57	2	435	1994	1994	1993	26	43	0	67	sg	me	1										
57	2	436	1994	1994	1993	8	25	0	0	sg	ve	1										
57	2	437	1994	1994	1993	3	17	0	0	sg	ve	1										
57	2	438	1994	1994	1993	5	31	0	0	sg	ve	1										
57	2	439	1994	1994	1993	3	14	0	0	sg	ve	1										
57	2	440	1994	1994	1993	8	29	0	0	sg	ve	1										
57	2	441	1994	1994	1993	6	43	0	32	sg	me	1										
57	2	442	1994	1994	1993	5	24	0	0	sg	ve	1										
57	2	443	1994	1994	1993	6	17	0	0	sg	ve	1										
